fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,pred_score
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,0.14232460475646058
5.7,0.6,0.0,1.4,0.063,11,18,0.9919100000000001,3.45,0.56,12.2,0.2444872360576198
7.6,1.58,0.0,2.1,0.13699999999999998,5,9,0.9947600000000001,3.5,0.4,10.9,0.3888773560636548
5.2,0.645,0.0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,0.26758946981195036
6.7,0.86,0.07,2.0,0.1,20,57,0.99598,3.6,0.74,11.7,0.1389450070684716
9.1,0.37,0.32,2.1,0.064,4,15,0.9957600000000001,3.3,0.8,11.2,0.23416736301151847
8.0,0.28,0.44,1.8,0.081,28,68,0.9950100000000001,3.36,0.66,11.2,0.16243146053192145
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,0.0035851135584125996
7.5,0.61,0.26,1.9,0.073,24,88,0.9961200000000001,3.3,0.53,9.8,0.007530010889129289
9.7,0.69,0.32,2.5,0.08800000000000001,22,91,0.9979,3.29,0.62,10.1,0.020945623334237957
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,0.02721937451769427
9.7,0.69,0.32,2.5,0.08800000000000001,22,91,0.9979,3.29,0.62,10.1,0.020945623334237957
7.0,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,0.008726008155919675
7.5,0.61,0.26,1.9,0.073,24,88,0.9961200000000001,3.3,0.53,9.8,0.007530010889129289
6.5,0.51,0.15,3.0,0.064,12,27,0.9929,3.33,0.59,12.8,0.18121707721997343
8.0,1.18,0.21,1.9,0.083,14,41,0.9953200000000001,3.34,0.47,10.5,0.012500370673119172
7.0,0.36,0.21,2.3,0.086,20,65,0.9955799999999999,3.4,0.54,10.1,0.008605287914053834
7.0,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,0.008605287914053834
7.5,0.63,0.27,2.0,0.083,17,91,0.99616,3.26,0.58,9.8,0.01062058177619268
5.4,0.74,0.0,1.2,0.040999999999999995,16,46,0.9925799999999999,4.01,0.59,12.5,0.17521164034361006
9.9,0.44,0.46,2.2,0.091,10,41,0.9963799999999999,3.18,0.69,11.9,0.5763127436848047
7.5,0.63,0.27,2.0,0.083,17,91,0.99616,3.26,0.58,9.8,0.01062058177619268
9.1,0.76,0.68,1.7,0.414,18,64,0.9965200000000001,2.9,1.33,9.1,0.03234014299918918
9.7,0.66,0.34,2.6,0.094,12,88,0.9979600000000001,3.26,0.66,10.1,0.04713261124594097
5.0,0.74,0.0,1.2,0.040999999999999995,16,46,0.9925799999999999,4.01,0.59,12.5,0.17521164034361006
9.1,0.34,0.42,1.8,0.057999999999999996,9,18,0.99392,3.18,0.55,11.4,0.3998550790696853
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11.0,0.18546156514207096
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
